Statistiche Fantacalcio Stagione 2021 22;;;;;;;;;;;;;;;;;
Id;R;Rm;Nome;Squadra;Pv;Mv;Fm;Gf;Gs;Rp;Rc;R+;R-;Ass;Amm;Esp;Au
5478;P;Por;Maenpaa;Venezia;17;6,03;4,47;0;27;0;0;0;0;1;1;0;0
387;P;Por;Reina;Lazio;15;5,97;4;0;29;0;0;0;0;1;3;0;0
572;P;Por;Meret;Napoli;7;5,86;5;0;6;0;0;0;0;0;0;0;0
2134;P;Por;Falcone;Sampdoria;10;6,45;4,95;0;14;0;0;0;0;0;2;0;0
4;P;Por;Sportiello;Atalanta;5;6,3;5,3;0;5;0;0;0;0;0;0;0;0
720;P;Por;Belec;Salernitana;23;6,09;4,07;0;49;1;0;0;0;0;1;0;0
799;P;Por;Bardi;Bologna;2;6,25;5,25;0;2;0;0;0;0;0;0;0;0
543;P;Por;Padelli;Udinese;3;6,17;3,5;0;8;0;0;0;0;0;0;0;0
1917;P;Por;Dragowski;Fiorentina;7;6,14;5,29;0;8;1;0;0;0;0;0;1;0
1930;P;Por;Pinsoglio;Juventus;1;6,5;5,5;0;1;0;0;0;0;0;0;0;0
2861;P;Por;Semper;Genoa;1;6,5;5,5;0;1;0;0;0;0;0;0;0;0
5528;P;Por;Zovko;Spezia;1;6;6;0;0;0;0;0;0;0;0;0;0
3;P;Por;Radunovic;Cagliari;3;6,33;5,67;0;5;1;0;0;0;0;0;0;0
218;P;Por;Perin;Juventus;5;6,1;4,7;0;7;0;0;0;0;0;0;0;0
5005;P;Por;Zoet;Spezia;7;5,79;3,5;0;19;1;0;0;0;0;0;0;0
41;P;Por;Mirante;Milan;0;0;0;0;0;0;0;0;0;0;0;0;0
42;P;Por;Sarr M.;Bologna;0;0;0;0;0;0;0;0;0;0;0;0;0
158;P;Por;Lezzerini;Venezia;6;6,17;4,5;0;9;0;0;0;0;0;2;0;0
160;P;Por;Tatarusanu;Milan;6;6;4,83;0;10;1;0;0;0;0;0;0;0
220;P;Por;Ujkani;Empoli;0;0;0;0;0;0;0;0;0;0;0;0;0
318;P;Por;Marchetti;Genoa;0;0;0;0;0;0;0;0;0;0;0;0;0
481;P;Por;Brignoli;Empoli;0;0;0;0;0;0;0;0;0;0;0;0;0
510;P;Por;Pegolo;Sassuolo;1;6;3;0;3;0;0;0;0;0;0;0;0
574;P;Por;Scuffet;Udinese;0;0;0;0;0;0;0;0;0;0;0;0;0
1843;P;Por;Radu I.;Inter;1;4;2;0;2;0;0;0;0;0;0;0;0
1889;P;Por;Cordaz;Inter;0;0;0;0;0;0;0;0;0;0;0;0;0
1946;P;Por;Aresti;Cagliari;0;0;0;0;0;0;0;0;0;0;0;0;0
1947;P;Por;Fiorillo;Salernitana;1;6;1;0;5;0;0;0;0;0;0;0;0
2091;P;Por;Plizzari;Milan;0;0;0;0;0;0;0;0;0;0;0;0;0
2127;P;Por;Satalino;Sassuolo;0;0;0;0;0;0;0;0;0;0;0;0;0
2249;P;Por;Santurro;Udinese;0;0;0;0;0;0;0;0;0;0;0;0;0
2297;P;Por;Rossi F.;Atalanta;1;6;5;0;1;0;0;0;0;0;0;0;0
2628;P;Por;Romero S.;Venezia;16;6;3,88;0;33;0;0;0;0;0;2;0;0
2781;P;Por;Fuzato;Roma;0;0;0;0;0;0;0;0;0;0;0;0;0
2790;P;Por;Rosati;Fiorentina;0;0;0;0;0;0;0;0;0;0;0;0;0
2845;P;Por;Contini;Napoli;0;0;0;0;0;0;0;0;0;0;0;0;0
4441;P;Por;Andrenacci;Genoa;0;0;0;0;0;0;0;0;0;0;0;0;0
4491;P;Por;Berardi A.;Verona;1;6,5;3,5;0;3;0;0;0;0;0;0;0;0
4525;P;Por;Gemello;Torino;1;6,5;6,5;0;0;0;0;0;0;0;0;0;0
4867;P;Por;Turati;Sassuolo;0;0;0;0;0;0;0;0;0;0;0;0;0
4977;P;Por;Ravaglia;Sampdoria;1;6;5;0;1;0;0;0;0;0;0;0;0
4981;P;Por;Krapikas;Spezia;0;0;0;0;0;0;0;0;0;0;0;0;0
4996;P;Por;Pandur;Verona;3;6,17;4,17;0;6;0;0;0;0;0;0;0;0
5304;P;Por;Boer;Roma;0;0;0;0;0;0;0;0;0;0;0;0;0
5306;P;Por;Alia;Lazio;0;0;0;0;0;0;0;0;0;0;0;0;0
5333;P;Por;Gasparini;Udinese;0;0;0;0;0;0;0;0;0;0;0;0;0
5448;P;Por;Furlan;Empoli;0;0;0;0;0;0;0;0;0;0;0;0;0
5502;P;Por;Adamonis;Lazio;0;0;0;0;0;0;0;0;0;0;0;0;0
5518;P;Por;Marfella;Napoli;0;0;0;0;0;0;0;0;0;0;0;0;0
5521;P;Por;Bertinato;Venezia;0;0;0;0;0;0;0;0;0;0;0;0;0
5682;P;Por;Molla;Bologna;0;0;0;0;0;0;0;0;0;0;0;0;0
5704;P;Por;Russo;Salernitana;0;0;0;0;0;0;0;0;0;0;0;0;0
5707;P;Por;Piana;Udinese;0;0;0;0;0;0;0;0;0;0;0;0;0
5713;P;Por;Neri;Venezia;0;0;0;0;0;0;0;0;0;0;0;0;0
4292;D;"Ds;E";Hernandez T.;Milan;32;6,3;6,69;5;0;0;2;1;1;5;5;2;0
697;D;"Dd;E";Cuadrado;Juventus;32;6,3;6,62;4;0;0;0;0;0;3;9;0;0
2788;D;Dc;Bremer;Torino;33;6,39;6,59;3;0;0;0;0;0;1;7;0;0
5513;D;E;Dumfries;Inter;32;6,22;6,77;5;0;0;0;0;0;4;3;0;0
392;D;Dc;Koulibaly;Napoli;27;6,48;6,72;3;0;0;0;0;0;1;5;1;0
4409;D;Dc;Rrahmani;Napoli;33;6,27;6,56;4;0;0;0;0;0;0;5;0;0
581;D;"Dd;E";Faraoni;Verona;32;6,08;6,48;4;0;0;0;0;0;5;6;1;0
798;D;Dc;Skriniar;Inter;35;6,21;6,43;3;0;0;0;0;0;0;3;0;0
4998;D;"Dd;E";Molina N.;Udinese;35;6,04;6,6;7;0;0;0;0;0;2;5;1;0
286;D;Dc;Bonucci;Juventus;23;6,15;6,78;5;0;0;3;3;0;0;1;0;0
357;D;"Dd;E";Calabria;Milan;26;6,15;6,42;2;0;0;0;0;0;2;2;0;0
4307;D;Dc;Romero;Atalanta;0;0;0;0;0;0;0;0;0;0;0;0;0
4899;D;E;Singo;Torino;35;6,17;6,44;3;0;0;0;0;0;4;5;1;0
2816;D;"Dd;E";Di Lorenzo;Napoli;33;6,2;6,36;1;0;0;0;0;0;4;3;0;0
4245;D;Dc;Smalling;Roma;25;6,18;6,46;3;0;0;0;0;0;0;0;0;1
4428;D;Dc;De Ligt;Juventus;31;6,19;6,45;3;0;0;0;0;0;1;2;1;0
4976;D;"Dd;Dc";Kalulu;Milan;24;6,33;6,46;1;0;0;0;0;0;2;4;0;0
5355;D;"Ds;E;M";Udogie;Udinese;34;6;6,47;5;0;0;0;0;0;3;4;0;0
253;D;"Dd;Ds;Dc";D'ambrosio;Inter;15;6,23;6,47;1;0;0;0;0;0;1;2;0;0
554;D;E;Zappacosta;Atalanta;31;6,08;6,24;1;0;0;0;0;0;5;6;0;0
2759;D;"Ds;Dc;E";Criscito;Genoa;20;5,98;6,68;6;0;0;7;6;1;1;4;0;0
487;D;"Dd;E";De Silvestri;Bologna;31;5,94;6,18;3;0;0;0;0;0;2;7;0;0
513;D;Dc;Acerbi;Lazio;29;5,95;6,31;4;0;0;0;0;0;0;1;1;0
2120;D;Dc;Bastoni;Inter;31;6,21;6,31;1;0;0;0;0;0;2;4;0;0
2160;D;E;Gosens;Inter;11;6,14;6,36;1;0;0;0;0;0;1;3;0;0
4751;D;Dc;Tomori;Milan;31;6,29;6,23;0;0;0;0;0;0;0;4;0;0
4904;D;Dc;Mari';Udinese;15;6,27;6,57;2;0;0;0;0;0;0;1;1;0
5332;D;"Ds;E";Bastoni S.;Spezia;29;6,12;6,41;3;0;0;0;0;0;3;5;1;0
142;D;"Ds;E";Mario Rui;Napoli;34;6,03;6,07;0;0;0;0;0;0;5;7;0;0
252;D;"Ds;E";Biraghi;Fiorentina;37;5,96;6,11;4;0;0;2;1;1;1;3;1;1
254;D;"Ds;E";Dimarco;Inter;25;6,12;6,34;2;0;0;1;0;1;3;1;0;0
2181;D;Dc;Palomino;Atalanta;33;6,14;6,09;1;0;0;0;0;0;0;9;0;0
2263;D;"Dd;E";Lazzari;Lazio;27;5,91;6,3;3;0;0;0;0;0;3;3;0;0
2525;D;E;Darmian;Inter;23;6,13;6,35;2;0;0;0;0;0;1;4;0;0
2180;D;"Dd;E";Karsdorp;Roma;35;6,07;6;0;0;0;0;0;0;2;7;1;0
4412;D;Dc;Rodrigo Becao;Udinese;35;6,04;6,1;2;0;0;0;0;0;1;10;0;0
4994;D;E;Vojvoda;Torino;29;6,02;6,07;0;0;0;0;0;0;3;3;0;0
5300;D;"Ds;E";Hickey;Bologna;36;5,83;6,18;5;0;0;0;0;0;1;7;0;0
5675;D;Dc;Theate;Bologna;30;5,92;6,05;2;0;0;0;0;0;1;6;0;0
118;D;Dc;Radovanovic;Salernitana;13;5,88;5,96;1;0;0;0;0;0;0;4;0;0
358;D;"Dd;Ds;E";De Sciglio;Juventus;16;6,06;6,25;1;0;0;0;0;0;2;2;1;0
464;D;"Dd;E";Florenzi;Milan;20;6,12;6,4;2;0;0;0;0;0;0;2;0;0
4237;D;"Dd;Ds;E";Danilo;Juventus;21;6,14;6,24;1;0;0;0;0;0;2;6;0;0
4331;D;Dc;Ibanez;Roma;32;5,84;6;3;0;0;0;0;0;0;9;0;0
4422;D;"Dd;Dc";Tomiyasu;Bologna;0;0;0;0;0;0;0;0;0;0;0;0;0
4982;D;Dc;Erlic;Spezia;30;5,95;6,07;2;0;0;0;0;0;0;5;0;0
5526;D;Dc;Scalvini;Atalanta;14;5,96;6,14;1;0;0;0;0;0;0;1;0;0
706;D;E;Ansaldi;Torino;15;6,13;6,27;0;0;0;0;0;0;3;2;0;0
2006;D;"Dd;E";Lirola;Fiorentina;0;0;0;0;0;0;0;0;0;0;0;0;0
2280;D;Dc;Nuytinck;Udinese;26;6;6,12;1;0;0;0;0;0;1;2;0;0
4332;D;Dc;Demiral;Atalanta;25;6,08;6,12;1;0;0;0;0;0;2;8;0;0
4421;D;"Ds;E";Augello;Sampdoria;34;5,81;5,93;1;0;0;0;0;0;1;0;0;0
5479;D;"Ds;Dc";Ceccaroni;Venezia;35;5,8;5,87;2;0;0;0;0;0;1;7;1;0
5514;D;Dc;Vasquez;Genoa;28;5,89;5,88;1;0;0;0;0;0;0;7;0;0
5520;D;"Dd;Ds;E";Cambiaso;Genoa;25;5,94;6,12;1;0;0;0;0;0;4;3;1;0
288;D;Dc;Chiellini;Juventus;19;6,18;6,13;0;0;0;0;0;0;0;2;0;0
322;D;Dc;De Vrij;Inter;28;5,8;5,68;0;0;0;0;0;0;0;3;0;1
1847;D;Dc;Caldara;Venezia;30;5,87;5,82;1;0;0;0;0;0;0;9;0;0
1891;D;"Dd;Dc";Ceccherini;Verona;34;5,88;5,79;1;0;0;0;0;0;0;10;1;0
2016;D;Dc;Fazio;Salernitana;16;5,69;5,78;1;0;0;0;0;0;0;1;1;0
2164;D;"Dd;Dc";Milenkovic;Fiorentina;34;5,87;5,81;1;0;0;0;0;0;0;8;1;0
2169;D;"Ds;E";Rodriguez R.;Torino;32;5,86;5,84;0;0;0;0;0;0;1;3;0;0
2296;D;Dc;Mancini;Roma;33;5,88;5,64;0;0;0;0;0;0;0;14;1;0
2309;D;Dc;Pezzella Ger.;Fiorentina;0;0;0;0;0;0;0;0;0;0;0;0;0
2784;D;Dc;Colley;Sampdoria;31;5,97;5,85;0;0;0;0;0;0;0;5;1;0
4530;D;"Ds;E";Kyriakopoulos;Sassuolo;25;5,88;5,92;0;0;0;0;0;0;5;6;1;0
4887;D;"Dd;E";Bellanova;Cagliari;31;5,82;5,9;1;0;0;0;0;0;1;3;0;0
4934;D;Dc;Lovato;Cagliari;21;5,98;5,86;0;0;0;0;0;0;0;5;0;0
5447;D;Dc;Altare;Cagliari;19;5,97;6;1;0;0;0;0;0;0;5;0;0
5449;D;"Ds;E";Parisi;Empoli;23;5,91;5,85;0;0;0;0;0;0;1;5;0;0
5481;D;"Dd;E";Mazzocchi;Salernitana;32;5,84;5,83;0;0;0;0;0;0;2;5;0;0
5695;D;"Ds;E";Haps;Venezia;25;5,84;5,88;1;0;0;0;0;0;1;6;0;0
45;D;"Dd;Dc";Ferrari A.;Sampdoria;22;5,7;5,75;1;0;0;0;0;0;0;4;0;0
76;D;Dc;Romagnoli S.;Empoli;18;5,89;6,03;2;0;0;0;0;0;0;3;0;1
